Stnno,Year,Month,Day,Rainfall,Day mean wind,Solar Radioation ( MJm-2)
48650,2009,7,19,0.2,1.3,10.36
48650,2009,7,20,0.0,2.2,18.16
48650,2009,7,21,49.4,2.6,6.26
48650,2009,7,22,7.4,1.4,10.96
48650,2009,7,23,0.2,1.5,22.72
48650,2009,7,24,0.0,1.3,20.00
48650,2009,7,25,29.0,2.2,21.37
48650,2009,7,26,0.2,1.7,15.80
48650,2009,7,27,0.0,1.8,9.27
48650,2009,7,28,23.6,1.8,24.24
48650,2009,7,29,0.0,1.7,20.15
48650,2009,7,30,0.0,1.9,19.69
48650,2009,7,31,7.0,1.3,21.71
48650,2009,8,1,0.6,1.0,11.90
48650,2009,8,2,0.0,1.1,21.25
48650,2009,8,3,0.0,1.8,19.37
48650,2009,8,4,0.0,2.0,20.10
48650,2009,8,5,0.4,1.7,6.93
48650,2009,8,6,0.0,1.1,19.07
48650,2009,8,7,0.0,1.5,20.16
48650,2009,8,8,5.8,1.2,20.13
48650,2009,8,9,3.2,1.1,17.50
48650,2009,8,10,0.6,1.5,14.71
48650,2009,8,11,0.0,1.5,17.80
48650,2009,8,12,0.0,1.4,14.41
48650,2009,8,13,0.0,1.5,14.86
48650,2009,8,14,0.0,2.0,23.11
48650,2009,8,15,0.2,2.5,17.71
48650,2009,8,16,0.4,1.8,16.27
48650,2009,8,17,0.0,1.5,20.35
48650,2009,8,18,1.4,2.2,18.75
48650,2009,8,19,0.0,1.5,22.02
48650,2009,8,20,13.2,1.8,20.02
48650,2009,8,21,0.0,1.5,21.25
48650,2009,8,22,4.4,1.3,11.13
48650,2009,8,23,34.2,2.0,20.86
48650,2009,8,24,0.2,1.9,19.23
48650,2009,8,25,0.0,1.4,21.04
48650,2009,8,26,16.2,1.6,14.50
48650,2009,8,27,44.0,2.0,14.98
48650,2009,8,28,0.2,1.8,16.36
48650,2009,8,29,0.0,1.2,19.72
48650,2009,8,30,3.2,1.1,9.47
48650,2009,8,31,0.0,1.1,15.95
48650,2009,9,1,96.0,1.3,3.32
48650,2009,9,2,0.0,1.0,18.24
48650,2009,9,3,0.0,1.0,17.08
